City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Guerrero Negro,MX,2021-07-31 13:32:30,27.9769,-114.0611,70.75,81,71,4.72
114,Puerto Ayora,EC,2021-07-31 13:29:46,-0.7393,-90.3518,68.56,98,98,8.01
115,Coihaique,CL,2021-07-31 13:32:31,-45.5752,-72.0662,31.95,86,20,4.61
116,Chuy,UY,2021-07-31 13:31:28,-33.6971,-53.4616,52.47,64,0,6.2
117,Mrakovo,RU,2021-07-31 13:32:31,52.7161,56.6244,86.23,32,67,14.43
118,San Patricio,US,2021-07-31 13:32:32,28.017,-97.5169,84.88,68,23,7.85
119,Kodiak,US,2021-07-31 13:32:04,57.79,-152.4072,53.11,87,90,0.0
120,Khatanga,RU,2021-07-31 13:32:32,71.9667,102.5,74.61,34,10,13.42
121,Ostrovnoy,RU,2021-07-31 13:32:32,68.0531,39.5131,48.58,92,100,9.93
122,Sao Joao Da Barra,BR,2021-07-31 13:32:18,-21.6403,-41.0511,68.09,64,69,13.02
123,Ribeira Grande,PT,2021-07-31 13:30:09,38.5167,-28.7,75.6,78,20,6.91
124,San Cristobal,VE,2021-07-31 13:32:33,7.7669,-72.225,75.38,72,64,6.06
125,Rockland,US,2021-07-31 13:32:33,41.1668,-74.0496,69.04,67,21,1.01
126,Harper,LR,2021-07-31 13:32:34,4.375,-7.7169,78.44,80,98,12.5
127,Bandar,ID,2021-07-31 13:32:34,2.05,99.75,73.65,97,83,2.98
128,Beringovskiy,RU,2021-07-31 13:32:34,63.05,179.3167,43.25,84,100,15.26
129,Ndele,CF,2021-07-31 13:32:35,8.4109,20.6473,77.52,89,94,1.07
130,Kenitra,MA,2021-07-31 13:32:35,34.261,-6.5802,81.73,57,18,15.86
131,Tsiroanomandidy,MG,2021-07-31 13:32:36,-18.7667,46.0333,76.64,26,20,3.24
132,Arraial Do Cabo,BR,2021-07-31 13:32:36,-22.9661,-42.0278,71.56,82,75,11.5
133,Ponta Do Sol,PT,2021-07-31 13:32:36,32.6667,-17.1,82.71,66,0,4.52
134,Monitos,CO,2021-07-31 13:32:37,8.25,-76.05,79.39,82,100,1.3
135,Saint-Pierre,RE,2021-07-31 13:32:37,-21.3393,55.4781,73.29,67,0,31.07
136,Mandalgovi,MN,2021-07-31 13:32:37,45.7625,106.2708,64.65,49,92,9.53
137,Bihariganj,IN,2021-07-31 13:32:38,25.7333,86.9833,82.22,84,100,10.22
138,Tabou,CI,2021-07-31 13:32:38,4.423,-7.3528,78.55,80,87,11.86
139,Upernavik,GL,2021-07-31 13:32:38,72.7868,-56.1549,42.31,77,100,9.95
140,Gbarnga,LR,2021-07-31 13:32:39,6.9956,-9.4722,79.66,80,66,4.18
141,Bjornevatn,NO,2021-07-31 13:32:39,69.6672,29.9847,49.62,83,100,3.22
142,East London,ZA,2021-07-31 13:31:45,-33.0153,27.9116,77.94,31,0,6.91
143,Bethel,US,2021-07-31 13:31:50,41.3712,-73.414,68.76,70,1,4.61
144,Mackay,AU,2021-07-31 13:32:40,-21.15,149.2,70.68,94,40,3.44
